
-------------------------------------------------------------
-------------- Model input ----------------------------------
-------------------------------------------------------------

Model parameters:

+-------------+----------+
| Parameter   |    Value |
|-------------+----------|
| w [m]       |      0.3 |
| h [m]       |      0.1 |
| a [m]       |     0.05 |
| b [m]       |    0.025 |
| E [Pa]      | 2.08e+11 |
| v [-]       |      0.5 |
| t [-]       |     0.01 |
+-------------+----------+

Model boundary conditions:

+----------+----------------+
|   Marker |   Displacement |
|----------+----------------|
|       80 |              0 |
+----------+----------------+

Loads:

+----------+-----------+------------+
|   Marker |   qx[N/m] |   qy [N/m] |
|----------+-----------+------------|
|       50 |     1e+05 |          0 |
+----------+-----------+------------+

-------------------------------------------------------------
-------------- Results --------------------------------------
-------------------------------------------------------------

Model info:

+---------------------+------+
| Max element size:   | 0.05 |
| Dofs per node:      |    2 |
| Element type:       |    2 |
| Number of dofs:     |  406 |
| Number of elements: |  342 |
| Number of nodes:    |  203 |
+---------------------+------+

Summary of results:

+----------------------+-----------+------+
| Max displacement:    |  1.23e-05 | [m]  |
| Min displacement:    | -9.97e-07 | [m]  |
| Max reaction force:  |       528 | [N]  |
| Min reaction force:  | -1.36e+03 | [N]  |
| Sum reaction forces: |    -1e+04 | [N]  |
| Max vonMises:        |  1.86e+07 | [Pa] |
| Min vonMises:        |  6.01e+05 | [Pa] |
+----------------------+-----------+------+

Results per node:

+-----+-------+-------+-----------+------------+----------+-----------+-----------+-----------+
|   N |   dof |   dof |   x_coord |    y_coord |      a_x |       a_y |       R_x |       R_y |
|     |     x |     y |       [m] |        [m] |     [mm] |      [mm] |      [kN] |      [kN] |
|-----+-------+-------+-----------+------------+----------+-----------+-----------+-----------|
| 104 | 2e+02 | 2e+02 |   0.07706 |    0.06581 |  0.00245 | -0.000386 | -1.36e-15 | -3.87e-15 |
| 105 | 2e+02 | 2e+02 |     0.175 |    0.05316 |   0.0074 | -2.81e-05 | -1.64e-14 |  5.74e-15 |
| 106 | 2e+02 | 2e+02 |    0.1604 |    0.05468 |  0.00668 | -7.79e-05 |  1.66e-14 |  1.14e-15 |
| 107 | 2e+02 | 2e+02 |   0.05489 |    0.02645 |  0.00163 |  0.000461 | -6.82e-16 | -9.09e-16 |
| 108 | 2e+02 | 2e+02 |   0.04654 |    0.06498 |  0.00135 | -0.000269 | -9.09e-16 | -2.27e-16 |
| 109 | 2e+02 | 2e+02 |   0.03371 |    0.06527 | 0.000924 | -0.000224 |  1.85e-15 | -5.68e-16 |
| 110 | 2e+02 | 2e+02 |    0.1879 |    0.05551 |  0.00804 | -9.08e-05 |  -1.4e-14 | -3.98e-16 |
| 111 | 2e+02 | 2e+02 |    0.1945 |    0.06389 |  0.00845 | -0.000321 | -1.14e-15 |  4.09e-15 |
| 112 | 2e+02 | 2e+02 |    0.1995 |      0.051 |  0.00857 |  1.79e-05 |  -1.9e-14 | -8.24e-15 |
| 113 | 2e+02 | 2e+02 |     0.208 |    0.06428 |  0.00906 | -0.000336 | -9.89e-15 |  3.18e-15 |
| 114 | 2e+02 | 2e+02 |    0.2153 |    0.05228 |   0.0093 | -1.52e-05 |  6.54e-15 | -3.18e-15 |
| 115 | 2e+02 | 2e+02 |    0.2227 |    0.06461 |  0.00965 | -0.000296 |  1.56e-14 | -6.82e-15 |
| 116 | 2e+02 | 2e+02 |    0.2303 |    0.05267 |  0.00991 | -1.72e-06 | -4.21e-15 | -2.39e-15 |
| 117 | 2e+02 | 2e+02 |    0.2377 |    0.06492 |   0.0102 | -0.000247 | -1.33e-14 |  5.91e-15 |
| 118 | 2e+02 | 2e+02 |    0.2453 |    0.05286 |   0.0105 |  1.11e-05 |  1.19e-14 | -9.09e-16 |
| 119 | 2e+02 | 2e+02 |    0.2243 |    0.03784 |  0.00972 |  0.000341 |  3.42e-14 | -3.18e-15 |
| 120 | 2e+02 | 2e+02 |    0.2523 |    0.06527 |   0.0107 | -0.000212 |  1.51e-14 |  2.84e-15 |
| 121 | 2e+02 | 2e+02 |    0.2601 |    0.05299 |    0.011 |  2.73e-05 | -2.44e-14 |  1.31e-15 |
| 122 | 2e+02 | 2e+02 |    0.2535 |    0.04043 |   0.0108 |  0.000255 | -1.53e-15 |  1.18e-14 |
| 123 | 2e+02 | 2e+02 |    0.2672 |    0.04089 |   0.0112 |  0.000248 |   6.1e-14 | -1.14e-14 |
| 124 | 2e+02 | 2e+02 |    0.2651 |    0.06617 |   0.0111 | -0.000199 | -1.53e-14 |  4.21e-15 |
| 125 | 2e+02 | 2e+02 |     0.261 |    0.02636 |   0.0111 |  0.000502 | -2.64e-14 | -1.19e-14 |
| 126 | 3e+02 | 3e+02 |   0.08241 |    0.02629 |  0.00259 |  0.000588 |  7.84e-15 | -1.82e-15 |
| 127 | 3e+02 | 3e+02 |    0.2023 |    0.02609 |  0.00902 |  0.000668 | -7.39e-15 |  3.64e-15 |
| 128 | 3e+02 | 3e+02 |   0.03936 |    0.07954 |  0.00113 | -0.000478 |  2.73e-15 |  3.18e-15 |
| 129 | 3e+02 | 3e+02 |    0.2449 |    0.07858 |   0.0105 | -0.000478 |  4.32e-15 |  7.39e-15 |
| 130 | 3e+02 | 3e+02 |     0.215 |    0.07764 |  0.00951 | -0.000614 | -2.33e-14 | -9.09e-16 |
| 131 | 3e+02 | 3e+02 |    0.1325 |    0.04324 |   0.0051 |  9.25e-05 | -1.74e-14 | -8.81e-16 |
| 132 | 3e+02 | 3e+02 |    0.2083 |    0.03943 |  0.00905 |  0.000327 |  7.96e-15 | -3.64e-15 |
| 133 | 3e+02 | 3e+02 |    0.2295 |    0.01341 |   0.0101 |  0.000795 |  9.09e-16 |    -1e-14 |
| 134 | 3e+02 | 3e+02 |    0.2373 |    0.02663 |   0.0103 |  0.000548 | -5.83e-14 |  1.82e-15 |
| 135 | 3e+02 | 3e+02 |   0.07017 |    0.08755 |  0.00209 | -0.000763 |  5.46e-15 |  9.09e-16 |
| 136 | 3e+02 | 3e+02 |   0.06415 |    0.07468 |  0.00195 |  -0.00052 | -1.18e-14 |  4.55e-16 |
| 137 | 3e+02 | 3e+02 |    0.1202 |     0.0424 |   0.0045 |  0.000152 |  4.77e-15 |  4.55e-16 |
| 138 | 3e+02 | 3e+02 |    0.1439 |    0.06466 |  0.00569 | -0.000352 |  1.57e-14 | -5.23e-15 |
| 139 | 3e+02 | 3e+02 |    0.1561 |    0.03531 |  0.00646 |   0.00037 | -2.73e-15 | -2.27e-15 |
| 140 | 3e+02 | 3e+02 |      0.15 |    0.04665 |  0.00608 |  9.49e-05 | -1.39e-14 | -3.18e-15 |
| 141 | 3e+02 | 3e+02 |    0.1559 |      0.065 |  0.00644 | -0.000358 | -8.07e-15 |  5.23e-15 |
| 142 | 3e+02 | 3e+02 |   0.08681 |    0.01233 |  0.00256 |  0.000844 | -4.09e-15 |  2.27e-15 |
| 143 | 3e+02 | 3e+02 |    0.1143 |     0.0194 |  0.00349 |  0.000689 | -1.31e-14 | -7.73e-15 |
| 144 | 3e+02 | 3e+02 |     0.104 |    0.02715 |  0.00342 |  0.000601 |  4.66e-15 |   2.5e-15 |
| 145 | 3e+02 | 3e+02 |    0.1025 |    0.08703 |  0.00295 |  -0.00085 | -6.82e-16 |  7.28e-15 |
| 146 | 3e+02 | 3e+02 |   0.09218 |    0.07439 |  0.00293 | -0.000637 | -7.73e-15 |  -2.5e-15 |
| 147 | 3e+02 | 3e+02 |   0.01198 |    0.03573 | 0.000284 |  8.21e-05 | -2.27e-16 |  3.38e-17 |
| 148 | 3e+02 | 3e+02 |    0.2884 |    0.03563 |   0.0119 |  0.000342 |  2.85e-14 | -3.18e-15 |
| 149 | 3e+02 | 3e+02 |    0.2881 |    0.06366 |   0.0119 | -0.000122 | -4.32e-15 |  6.54e-15 |
| 150 | 3e+02 | 3e+02 |   0.01187 |    0.06385 |  0.00028 | -7.84e-05 |  6.25e-16 | -2.84e-17 |
| 151 | 3e+02 | 3e+02 |     0.187 |    0.08126 |  0.00872 |  -0.00067 |  2.73e-14 |  3.64e-15 |
| 152 | 3e+02 | 3e+02 |    0.2149 |    0.02838 |  0.00946 |   0.00057 |  3.41e-15 | -4.55e-16 |
| 153 | 3e+02 | 3e+02 |    0.2759 |    0.08684 |   0.0115 | -0.000518 |  1.36e-15 |  9.71e-15 |
| 154 | 3e+02 | 3e+02 |   0.02345 |    0.01409 | 0.000659 |   0.00043 | -1.14e-16 | -9.09e-16 |
| 155 | 3e+02 | 3e+02 |   0.03203 |    0.02531 | 0.000889 |  0.000348 | -4.92e-15 | -1.05e-15 |
| 156 | 3e+02 | 3e+02 |   0.06946 |     0.0285 |  0.00214 |  0.000471 |  -2.9e-15 | -4.55e-16 |
| 157 | 3e+02 | 3e+02 |    0.2883 |    0.02173 |   0.0119 |  0.000569 | -1.59e-15 | -5.46e-15 |
| 158 | 3e+02 | 3e+02 |    0.2767 |    0.03017 |   0.0116 |  0.000429 |  3.92e-15 |  5.46e-15 |
| 159 | 3e+02 | 3e+02 |   0.01133 |     0.0783 | 0.000274 | -0.000157 |  9.09e-16 |  6.82e-16 |
| 160 | 3e+02 | 3e+02 |   0.05507 |    0.01108 |  0.00165 |   0.00071 |  2.73e-15 | -4.09e-15 |
