
    -------------------------------------------------------------
    -------------- Model input ----------------------------------
    -------------------------------------------------------------

    Model parameters:

    +---------------+---------+
    | Parameter     |   Value |
    |---------------+---------|
    | w [m]         |     100 |
    | h [m]         |      10 |
    | d [m]         |       5 |
    | t [m]         |     0.5 |
    | thickness [m] |       1 |
    | kx [m/day]    |      20 |
    | ky [m/day]    |      20 |
    +---------------+---------+

    Model boundary conditions:

    +----------+--------------------+
    |   Marker |   Piezometric head |
    |----------+--------------------|
    |       10 |                 10 |
    |       20 |                  0 |
    +----------+--------------------+

    -------------------------------------------------------------
    -------------- Results --------------------------------------
    -------------------------------------------------------------

    Model info:

    +---------------------+-----+
    | Max element size:   |   2 |
    | Dofs per node:      |   1 |
    | Element type:       |   3 |
    | Number of dofs:     | 422 |
    | Number of elements: | 359 |
    | Number of nodes:    | 422 |
    +---------------------+-----+

    Summary of results:

    +------------------------+---------+---------+
    | Max piezometric head:  |  10.000 | [m]     |
    | Min piezometric head:  |   0.000 | [m]     |
    | Max boundary flow:     |  18.314 | [m/day] |
    | Min boundary flow:     | -18.443 | [m/day] |
    | Sum boundary flow:     |  -0.000 | [m/day] |
    | Max resulting gw flow: |  32.534 | [m/day] |
    | Min resulting gw flow: |   0.002 | [m/day] |
    +------------------------+---------+---------+

    Results per node:

    +-----+-------+-----------+------------+--------+-----------+
    |   N |   dof |   x_coord |    y_coord |   P.h. |      q BC |
    |     |       |       [m] |        [m] |    [m] |   [m/day] |
    |-----+-------+-----------+------------+--------+-----------|
    | 227 |   227 |      42.6 |        2.1 |  8.394 |     0.000 |
    | 228 |   228 |      40.8 |        6.6 |  9.410 |    -0.000 |
    | 229 |   229 |      39.1 |        6.5 |  9.482 |     0.000 |
    | 230 |   230 |      37.3 |        6.5 |  9.631 |     0.000 |
    | 231 |   231 |      37.4 |        4.6 |  9.445 |    -0.000 |
    | 232 |   232 |      35.6 |        4.8 |  9.614 |    -0.000 |
    | 233 |   233 |      54.0 |        1.7 |  2.763 |     0.000 |
    | 234 |   234 |      93.6 |        1.7 |  0.006 |    -0.000 |
    | 235 |   235 |      91.1 |        3.4 |  0.007 |     0.000 |
    | 236 |   236 |      90.6 |        5.1 |  0.006 |     0.000 |
    | 237 |   237 |      88.5 |        5.1 |  0.009 |    -0.000 |
    | 238 |   238 |      92.6 |        5.1 |  0.005 |     0.000 |
    | 239 |   239 |      89.0 |        3.4 |  0.010 |    -0.000 |
    | 240 |   240 |      86.5 |        5.1 |  0.011 |    -0.000 |
    | 241 |   241 |      86.9 |        3.4 |  0.014 |     0.000 |
    | 242 |   242 |      84.5 |        5.1 |  0.016 |    -0.000 |
    | 243 |   243 |      84.9 |        3.5 |  0.018 |     0.000 |
    | 244 |   244 |      82.5 |        5.2 |  0.021 |    -0.000 |
    | 245 |   245 |      82.9 |        3.5 |  0.025 |    -0.000 |
    | 246 |   246 |      80.5 |        5.2 |  0.029 |     0.000 |
    | 247 |   247 |      80.9 |        3.5 |  0.034 |     0.000 |
    | 248 |   248 |      78.6 |        5.2 |  0.039 |     0.000 |
    | 249 |   249 |      79.0 |        3.5 |  0.047 |    -0.000 |
    | 250 |   250 |      76.6 |        5.2 |  0.054 |     0.000 |
    | 251 |   251 |      77.0 |        3.5 |  0.063 |     0.000 |
    | 252 |   252 |      74.6 |        5.3 |  0.073 |     0.000 |
    | 253 |   253 |      75.0 |        3.6 |  0.088 |     0.000 |
    | 254 |   254 |      72.6 |        5.3 |  0.102 |     0.000 |
    | 255 |   255 |      73.0 |        3.6 |  0.118 |    -0.000 |
    | 256 |   256 |      70.6 |        5.3 |  0.138 |     0.000 |
    | 257 |   257 |      70.9 |        3.6 |  0.166 |     0.000 |
    | 258 |   258 |      68.9 |        3.5 |  0.225 |     0.000 |
    | 259 |   259 |      68.6 |        5.2 |  0.193 |    -0.000 |
    | 260 |   260 |      67.0 |        3.5 |  0.314 |     0.000 |
    | 261 |   261 |      68.3 |        6.8 |  0.140 |     0.000 |
    | 262 |   262 |      75.5 |        1.8 |  0.090 |     0.000 |
    | 263 |   263 |      72.3 |        6.9 |  0.074 |    -0.000 |
    | 264 |   264 |      76.2 |        6.9 |  0.040 |     0.000 |
    | 265 |   265 |      80.1 |        6.8 |  0.021 |     0.000 |
    | 266 |   266 |      71.4 |        1.8 |  0.171 |     0.000 |
    | 267 |   267 |       7.4 |        1.7 |  9.994 |    -0.000 |
    | 268 |   268 |       8.9 |        3.4 |  9.993 |     0.000 |
    | 269 |   269 |      10.9 |        3.5 |  9.990 |     0.000 |
    | 270 |   270 |       8.7 |        5.1 |  9.994 |    -0.000 |
    | 271 |   271 |      10.6 |        5.2 |  9.993 |    -0.000 |
    | 272 |   272 |       6.7 |        5.1 |  9.996 |     0.000 |
    | 273 |   273 |       8.7 |        6.7 |  9.996 |     0.000 |
    | 274 |   274 |       7.0 |        3.4 |  9.994 |     0.000 |
    | 275 |   275 |       4.8 |        5.0 |  9.996 |    -0.000 |
    | 276 |   276 |       5.1 |        3.3 |  9.996 |     0.000 |
    | 277 |   277 |       3.1 |        4.9 |  9.997 |     0.000 |
    | 278 |   278 |       4.9 |        6.7 |  9.998 |     0.000 |
    | 279 |   279 |      13.0 |        3.5 |  9.987 |     0.000 |
    | 280 |   280 |      12.9 |        5.7 |  9.990 |     0.000 |
    | 281 |   281 |      11.9 |        6.9 |  9.994 |     0.000 |
    | 282 |   282 |      95.0 |        8.4 |  0.001 |    -0.000 |
    | 283 |   283 |      95.7 |        6.9 |  0.002 |     0.000 |
    | 284 |   284 |      49.7 |        2.5 |  5.153 |     0.000 |
    | 285 |   285 |      81.4 |        1.8 |  0.036 |     0.000 |
    | 286 |   286 |      84.0 |        6.8 |  0.012 |     0.000 |
    | 287 |   287 |      85.4 |        1.7 |  0.019 |     0.000 |
