
    -------------------------------------------------------------
    -------------- Model input ----------------------------------
    -------------------------------------------------------------

    Model parameters:

    +-------------+----------+
    | Parameter   |    Value |
    |-------------+----------|
    | w [m]       |      0.3 |
    | h [m]       |      0.1 |
    | a [m]       |     0.05 |
    | b [m]       |    0.025 |
    | E [Pa]      | 2.08e+11 |
    | v [-]       |      0.3 |
    | t [-]       |     0.01 |
    +-------------+----------+

    Model boundary conditions:

    +----------+----------------+
    |   Marker |   Displacement |
    |----------+----------------|
    |       80 |              0 |
    +----------+----------------+

    Loads:

    +----------+-----------+------------+
    |   Marker |   qx[N/m] |   qy [N/m] |
    |----------+-----------+------------|
    |       50 |     1e+05 |          0 |
    +----------+-----------+------------+

    -------------------------------------------------------------
    -------------- Results --------------------------------------
    -------------------------------------------------------------

    Model info:

    +---------------------+------+
    | Max element size:   | 0.05 |
    | Dofs per node:      |    2 |
    | Element type:       |    3 |
    | Number of dofs:     |  410 |
    | Number of elements: |  172 |
    | Number of nodes:    |  205 |
    +---------------------+------+

    Summary of results:

    +----------------------+-----------+------+
    | Max displacement:    |  1.87e-05 | [m]  |
    | Min displacement:    | -1.02e-06 | [m]  |
    | Max reaction force:  |       293 | [N]  |
    | Min reaction force:  | -1.24e+03 | [N]  |
    | Sum reaction forces: |    -1e+04 | [N]  |
    | Max vonMises:        |  2.45e+07 | [Pa] |
    | Min vonMises:        |  3.99e+05 | [Pa] |
    +----------------------+-----------+------+

    Results per node:

    +-----+-------+-------+-----------+------------+----------+-----------+-----------+-----------+
    |   N |   dof |   dof |   x_coord |    y_coord |      a_x |       a_y |       R_x |       R_y |
    |     |     x |     y |       [m] |        [m] |     [mm] |      [mm] |      [kN] |      [kN] |
    |-----+-------+-------+-----------+------------+----------+-----------+-----------+-----------|
    |  88 | 2e+02 | 2e+02 |    0.1104 |    0.05347 |  0.00615 | -8.07e-05 |  1.82e-15 | -4.69e-16 |
    |  89 | 2e+02 | 2e+02 |    0.1065 |    0.06556 |  0.00564 | -0.000392 |  1.02e-14 |  2.27e-16 |
    |  90 | 2e+02 | 2e+02 |   0.09972 |    0.04995 |  0.00538 | -3.24e-06 |  5.95e-15 | -1.36e-15 |
    |  91 | 2e+02 | 2e+02 |     0.189 |    0.02579 |    0.013 |  0.000485 | -1.39e-15 | -9.09e-16 |
    |  92 | 2e+02 | 2e+02 |    0.1959 |    0.03932 |    0.013 |  0.000247 |  3.76e-14 | -5.68e-16 |
    |  93 | 2e+02 | 2e+02 |     0.198 |    0.08503 |   0.0141 | -0.000836 | -1.25e-15 |  8.19e-15 |
    |  94 | 2e+02 | 2e+02 |    0.1146 |    0.04156 |  0.00639 |  0.000158 | -9.21e-15 |  1.48e-15 |
    |  95 | 2e+02 | 2e+02 |   0.09699 |    0.03505 |  0.00502 |  0.000424 | -2.53e-15 |  2.27e-16 |
    |  96 | 2e+02 | 2e+02 |   0.08199 |    0.04437 |  0.00417 |  0.000153 | -6.51e-15 | -1.02e-15 |
    |  97 | 2e+02 | 2e+02 |   0.06888 |    0.05025 |  0.00339 | -1.11e-05 |  2.43e-15 |  -8.1e-16 |
    |  98 | 2e+02 | 2e+02 |   0.06422 |    0.04097 |  0.00311 |  0.000204 |  3.13e-16 |  5.68e-16 |
    |  99 | 2e+02 | 2e+02 |   0.05337 |    0.05509 |  0.00252 | -0.000101 |  6.54e-16 |  3.98e-16 |
    | 100 | 2e+02 | 2e+02 |   0.05315 |    0.04039 |  0.00251 |  0.000187 |  2.07e-15 |  1.42e-16 |
    | 101 | 2e+02 | 2e+02 |   0.03766 |    0.05236 |  0.00171 | -3.49e-05 | -8.53e-17 | -1.85e-16 |
    | 102 | 2e+02 | 2e+02 |   0.03834 |    0.03967 |  0.00175 |  0.000156 | -3.84e-15 |  2.84e-16 |
    | 103 | 2e+02 | 2e+02 |    0.1154 |    0.08152 |  0.00527 | -0.000558 |   3.1e-15 | -1.71e-15 |
    | 104 | 2e+02 | 2e+02 |    0.1401 |     0.0557 |  0.00843 | -8.16e-05 | -5.67e-15 |  2.56e-16 |
    | 105 | 2e+02 | 2e+02 |   0.07417 |    0.06286 |  0.00365 | -0.000323 |  5.12e-15 | -7.96e-16 |
    | 106 | 2e+02 | 2e+02 |    0.1737 |    0.05167 |   0.0113 |  -4.4e-05 |  1.04e-14 | -1.53e-15 |
    | 107 | 2e+02 | 2e+02 |      0.16 |    0.05471 |   0.0102 | -5.96e-05 | -1.99e-16 |  2.43e-15 |
    | 108 | 2e+02 | 2e+02 |   0.04677 |    0.06418 |  0.00217 | -0.000251 |  1.12e-15 | -5.68e-16 |
    | 109 | 2e+02 | 2e+02 |   0.03737 |    0.06396 |   0.0017 | -0.000208 | -3.69e-16 |  2.27e-16 |
    | 110 | 2e+02 | 2e+02 |   0.05529 |    0.02763 |  0.00259 |  0.000433 | -5.61e-16 |  1.42e-16 |
    | 111 | 2e+02 | 2e+02 |    0.1868 |    0.05591 |   0.0123 | -0.000151 |   2.5e-14 | -3.69e-15 |
    | 112 | 2e+02 | 2e+02 |    0.1936 |    0.06383 |   0.0129 | -0.000371 |  4.26e-15 | -5.23e-15 |
    | 113 | 2e+02 | 2e+02 |    0.2007 |    0.05271 |   0.0133 | -0.000109 | -8.09e-15 | -1.25e-15 |
    | 114 | 2e+02 | 2e+02 |    0.2026 |    0.06359 |   0.0135 | -0.000408 | -1.75e-14 | -1.02e-15 |
    | 115 | 2e+02 | 2e+02 |    0.2141 |    0.05131 |   0.0142 | -7.38e-05 |   6.7e-15 | -4.83e-15 |
    | 116 | 2e+02 | 2e+02 |    0.2155 |    0.06356 |   0.0144 | -0.000402 | -1.65e-15 |  3.41e-15 |
    | 117 | 2e+02 | 2e+02 |    0.2285 |    0.05016 |    0.015 | -4.42e-05 | -2.28e-14 |         0 |
